Trial ID,test loss,test accuracy,test one shot accuracy,val loss,val accuracy,val one shot accuracy,train loss,train accuracy,learning_rate,dense_layer_size,enable_batch_normalization,bias_initializer,conv2D_kernel_initializer,dense_kernel_initializer,dropout_rate,distance_metric,l2_regularizer,optimizer
b4b6ae66b5a4a7347fdf4b802efa273a,0.5229764580726624,0.7459999918937683,0.636,0.5026561617851257,0.7863636612892151,0.6454545454545455,0.22717303037643433,0.9789772629737854,5e-05,512,1,zeros,default,he_normal,0.5,abs,-1.0,adam
af089a47c80f60419fbca0697ffb4d27,0.5229792594909668,0.7459999918937683,0.642,0.5026310086250305,0.7863636612892151,0.65,0.22717833518981934,0.9789772629737854,5e-05,512,0,zeros,default,he_normal,0.5,abs,-1.0,adam
2dcae7a20a4c3a4c78bb0a87bbff379a,0.5229964852333069,0.746999979019165,0.644,0.499931275844574,0.7863636612892151,0.6545454545454545,0.2045949101448059,0.9833333492279053,5e-05,512,0,zeros,he_normal,he_normal,0.5,abs,-1.0,adam
50bd785d0f79588cb9eb661ce75faae7,0.5228261947631836,0.746999979019165,0.642,0.5021058320999146,0.7863636612892151,0.6454545454545455,0.227023646235466,0.9794507622718811,5e-05,512,1,zeros,default,he_normal,0.5,abs,-1.0,adam
8c4963158e286271f3a507bb6331a522,0.5225852131843567,0.746999979019165,0.634,0.5019405484199524,0.7863636612892151,0.6454545454545455,0.22716772556304932,0.9785037636756897,5e-05,512,1,zeros,default,he_normal,0.5,abs,-1.0,adam
708b57a0df6412663826a47835522156,0.5228371620178223,0.7450000047683716,0.64,0.5022404193878174,0.7863636612892151,0.65,0.2274002581834793,0.979356050491333,5e-05,512,1,zeros,default,he_normal,0.5,abs,-1.0,adam
ca90e545a505bf70ac2d2d07f271773e,0.522704541683197,0.7450000047683716,0.64,0.5014289617538452,0.7840909361839294,0.6590909090909091,0.21827803552150726,0.9809659123420715,5e-05,512,0,zeros,default,he_normal,0.0,abs,-1.0,adam
d605f2ccd4241832863baea809cff7d0,0.5230422019958496,0.7480000257492065,0.64,0.5017678737640381,0.7840909361839294,0.6545454545454545,0.219394251704216,0.9807764887809753,5e-05,512,0,zeros,default,he_normal,0.5,abs,-1.0,adam
9c7a215d82a507d1aca55af87d207ab7,0.5234373807907104,0.7490000128746033,0.644,0.4998795986175537,0.7840909361839294,0.6545454545454545,0.19072936475276947,0.9855113625526428,5e-05,512,1,zeros,default,he_normal,0.5,abs,-1.0,adam
d64b98fd8b4e95ce6e68ecc2c0057150,0.5229037404060364,0.746999979019165,0.636,0.5032676458358765,0.7840909361839294,0.65,0.24343989789485931,0.974337100982666,5e-05,512,1,zeros,default,he_normal,0.5,abs,-1.0,adam
